docDOI,docSection,docAuthor,docTitle,docAcceptDate,docPaymentDate,docPublishDate,docPrintIssue,docPrintNotes,docNumPagesPrint,docEditor,docCoordinator,docProofReader,docSE1,docSE2,docEnteredDate,docCopyEditBeginDate,docCopyEditCompleteDate,docSendSEDate,docReturnSEDate,docSendAuthorDate,docReturnAuthorDate,docFinalizeDate,docOpenAccess,docTranslation,docAdConflicts,docCollectionCode1
160900,Research,Luo,"Disparities in infant hospitalizations in Indigenous and non-Indigenous populations in Quebec, Canada",13-Jan-17,21-Feb-17,29-May-17,October 2017,,8,Vicky,Erin D,,MBS,KP,15-Feb-17,4-Apr-17,12-Apr-17,19-Apr-17,19-Apr-17,20-Apr-17,24-Apr-17,27-Apr-17,TRUE,TRUE,None,"370, 72, 170"
161043,Research,Rao,Effect of organ donation after circulatory determination of death on number of organ transplants from donors with neurologic determination of death,18-Jan-17,20-Apr-17,25-Sep-17,May 2018,Linked commentary (Sam Shemie) commissioned due in 22 August (author can't deliver earlier,6,Peggy,Erin D,Erin D,KF,DK,25-Jan-17,27-Jun-17,5-Jul-17,5-Jul-17,14-Jul-17,17-Jul-17,24-Jul-17,1-Aug-17,TRUE,TRUE,"organ donation, transplantation, Trillium Gift of Life Network, life support",99165
160706,Research,Sievenpiper,"Relation of total sugars, fructose and sucrose with incident type 2 diabetes: a systematic review and meta-analysis of prospective cohort studies",10-Jan-17,19-Jan-17,23-May-17,December 2017,"For print: publish with 161152, 161390 and KP's editorial? 160706-syn to SE1 Nov. 6; to SE2 Nov.9; to PR 9 Nov; from PR 10 Nov; F 10 Nov",10,Lea,Olivier,,KP,DK,25-Jan-17,7-Mar-17,17-Mar-17,17-Mar-17,24-Mar-17,28-Mar-17,31-Mar-17,6-Apr-17,TRUE,TRUE,"diabetes, sugars, fructose, sucrose, sugar-sweetened beverages","24, 33, 152, 383, 170"
171286,Research,Daoust,Recent opioid use and fall-related injury among older trauma patients,14-Feb-18,19-Feb-18,23-Apr-18,,28 Mar: to SE2,7,Vicky,Olivier,Erin,KF,KP,16-Feb-18,26-Mar-18,27-Mar-18,27-Mar-18,3-Apr-18,3-Apr-18,5-Apr-18,6-Apr-18,TRUE,TRUE,"Older people, falls, opioids, pain, motor vehicle crashes","530, 388,271"
161098,Research,Jacklin,Healthcare Experiences of Indigenous People Living with Type 2 Diabetes in Canada: Sequential Focus Group Findings from Diverse Indigenous Contexts,17-Nov-16,18-Nov-16,23-Jan-17,February 2017,,8,Sarah,Erin D,,KF,KP,18-Nov-16,24-Nov-16,25-Nov-16,25-Nov-16,28-Nov-16,29-Nov-16,30-Nov-16,1-Dec-16,TRUE,TRUE,"diabetes, Aboriginal health, patient-centred care, insulin","370, 24, 357, 438, 10"
170337,Research,Pincus,Direct medical costs of motorcycle crashes in Ontario,03-Jul-17,17-Jul-17,20-Nov-17,December 2017,170337-syn (visual abstract) PR and F 21 Nov,6,Vicky,Olivier,Erin,KF,KP,6-Jul-17,25-Sep-17,8-Oct-17,20-Oct-17,25-Oct-17,26-Oct-17,30-Oct-17,2-Nov-17,TRUE,TRUE,"Motorcycle crashes, vehicle crashes, costs of health care, Health Canada","2, 113, 163, 10"
161481,Research,Morgan,Drivers of expenditure on primary care prescription drugs in 10 high-income countries with universal health coverage,17-Feb-17,17-Feb-17,12-Jun-17,November 2017,,6,Vicky,Erin D,,KF,KP,24-Feb-17,22-Mar-17,29-Mar-17,3-Apr-17,4-Apr-17,4-Apr-17,7-Apr-17,11-Apr-17,TRUE,TRUE,No ad conflicts (article is about pharmacare and public drugs plans),"465, 113"
161351,Research,Gatov,"Trends in standardized mortality among individuals with schizophrenia, 1993–2012: a population-based, repeated cross-sectional study",05-Apr-17,17-Apr-17,18-Sep-17,October 2017,161351-syn sent to FT Sept. 18; to SE1 Sept. 19; to Prod. Sept. 19; to PR Sept. 19. F'd Sept. 19,11,Peggy,Olivier,Olivier,KP,DK,19-Apr-17,10-Jul-17,19-Jul-17,19-Jul-17,11-Aug-17,11-Aug-17,15-Aug-17,31-Aug-17,TRUE,TRUE,"schizophrenia, bipolar disorder, major depression, mental illness, antipsychotics, diabetes mellitus, cardiovascular or circulatory disease, respiratory disease, metabolic disease, suicide, neoplasms, ","161, 163"
170994,Research,Kao,Increased risk of stroke in  patients with dengue fever: a population-based cohort study,16-Nov-17,16-Nov-17,12-Mar-18,,,6,Peggy,Erin D,Olivier,KF,DK,20-Nov-17,7-Feb-18,14-Feb-18,14-Feb-18,21-Feb-18,21-Feb-18,22-Feb-18,27-Feb-18,TRUE,TRUE,"dengue fever, stroke, antithrombotic agents, antihypertensive agents, digestive disorders, cardiopulmonary disorders, metabolic disorders, trauma, genitourinary disorders","38, 154"
170588,Research,Stelfox,"Patient, family and provider experiences with transfers from intensive care unit to hospital ward: a multicentre qualitative study",09-Mar-18,16-Mar-18,4-Jun-18,,,8,Vicky,Olivier,Olivier,MBS,DK,15-Mar-18,7-May-18,9-May-18,9-May-18,15-May-18,15-May-18,16-May-18,17-May-18,TRUE,TRUE,"Intensive care unit, hospitals, health care providers, nursing","21, 137, 346, 357, 10"
160775,Research,Downar,The ”surprise question” for predicting mortality in seriously ill patients: a systematic review and meta-analysis,29-Dec-16,16-Jan-17,3-Apr-17,August 2017,,10,Lea,Olivier,Erin,MBS,DK,18-Jan-17,10-Feb-17,15-Feb-17,15-Feb-17,17-Feb-17,21-Feb-17,22-Feb-17,1-Mar-17,TRUE,TRUE,"cancer, surprise question, palliative care, end-of-life decisions, health policy","21, 42, 109, 165"
160722,Research,Razaz,Perinatal outcomes in multifetal pregnancy following fetal reduction,12-Jan-17,16-Jan-17,8-May-17,September 2017,160722-syn to SE1 Aug. 2; rec'd Aug. 11. To FT Aug. 11; to SE2 (KP) Aug. 11; back Aug. 14. To PR Aug. 14; F'd Aug. 14,7,Kate S,Olivier,Olivier,KF,DK,23-Feb-17,28-Feb-17,13-Mar-17,13-Mar-17,15-Mar-17,15-Mar-17,20-Mar-17,23-Mar-17,TRUE,TRUE,"pregnancy, maternal and infant health","202, 413"
170806,Research,Abdul Sultan,Risk of fragility fracture among patients with gout and the effect of urate lowering therapy: propensity score-matched landmark analysis,18-Dec-17,16-Feb-18,14-May-18,,,7,Vicky/Lea,Olivier,,KF,DK,21-Dec-17,2-Apr-18,4-Apr-18,4-Apr-18,9-Apr-18,11-Apr-18,16-Apr-18,23-Apr-18,TRUE,TRUE,"gout-prevention drugs, musculoskeletal and joint drugs, adverse reactions, fractures","158, 211, 328"
170740,Research,Agarwal,Evaluating a community paramedicine health promotion and lifestyle risk assessment program in older adults living in social housing: a cluster randomized trial,12-Mar-18,15-Mar-18,28-May-18,,tentatively scheduled; author requested publication during Paramedic Service Week (May 27 to June 2); to SE2 Apr. 25. To AU May 4 to confirm changes,10,Lea,Erin D,Olivier,KP,DK,27-Mar-18,6-Apr-18,19-Apr-18,19-Apr-18,27-Apr-18,30-Apr-18,2-May-18,7-May-18,TRUE,TRUE,"Older adults, community paramedicine programs, CP@clinic, social housing, geriatric medicine","538, 271, 170, 383, 10"
161460,Research,Banks,Alcoholic versus aqueous chlorhexidine for skin antisepsis: the AVALANCHE trial,17-Feb-17,15-Mar-17,8-Aug-17,March 2018,161460-syn: 15 Feb: F,9,Peggy,Olivier,Erin,KF,DK,16-Mar-17,31-May-17,6-Jun-17,6-Jun-17,19-Jun-17,21-Jun-17,27-Jun-17,30-Jun-17,TRUE,TRUE,"antisepsis, skin infection, skin lesions, dermatology, chlorhexidine, povidone iodine, iodophor, isopropyl alcohol, wound care, anticoagulants, antiplatelet agents, steroids, immunosuppressants, melanoma, basal cell carcinoma, squamous cell carcinoma, sutures ","22, 93, 199, 207, 343, 383"
170406,Research,Osmond,Multicentre prospective validation and refinement of a clinical decision rule for the use of computed tomography in children with minor head injury in the emergency department,13-Mar-18,13-Mar-18,18-Jun-18,,,8,Kate,Olivier,Erin,KF,KP,14-Mar-18,4-Apr-18,6-Apr-18,6-Apr-18,11-Apr-18,12-Apr-18,16-Apr-18,20-Apr-18,TRUE,TRUE,"Pediatric emergency medicine, head injury, computed tomography","72, 2, 195"
161082,Research,Morgan,Estimated effects of adding universal public coverage of an essential medicines list to existing public drug plans in Canada,12-Jan-17,13-Jan-17,27-Feb-17,November 2017,Fast track,8,Kate S,Olivier,Erin,DK,KP,17-Jan-17,30-Jan-17,2-Feb-17,2-Feb-17,3-Feb-17,3-Feb-17,7-Feb-17,8-Feb-17,TRUE,TRUE,No ad conflicts (article is about pharmacare and public drugs plans),"465, 113, 165, 456"
161119,Research,Law,Impact of income-based deductibles on drug use and health care utilization among older adults,12-Jan-17,13-Feb-17,15-May-17,November 2017,11 Oct: 161119-syn sent to SE1; back Oct. 16. To FT Oct. 16; to SE2 Oct. 16. To PR Oct. 17; F'd Oct. 17,7,Kate S,Erin D,Erin,KP,DK,19-Jan-17,13-Mar-17,22-Mar-17,22-Mar-17,27-Mar-17,27-Mar-17,30-Mar-17,3-Apr-17,TRUE,TRUE,No ad conflicts (unless you get an ad about travelling to BC...),"465, 113, 186, 271"
170595,Research,Ray,Intergenerational abortion tendency between mothers and teenage daughters: a population-based cohort study,15-Aug-17,12-Oct-17,29-Jan-18,,,8,Peggy,Olivier,Erin,KF,KP,11-Sep-17,15-Dec-17,18-Dec-17,18-Dec-17,21-Dec-18,2-Jan-18,4-Jan-18,10-Jan-18,TRUE,TRUE,"abortion, methotrexate, misoprostol, mifepristone, ","225, 159"
170817,Research,Ronald,"Demographic risk factors of tuberculosis in people migrating to British Columbia, Canada: a retrospective cohort study ",05-Oct-17,12-Oct-17,26-Feb-18,March 2018,22 Feb: Visual Abstract 170817-syn F for March print,9,Lea,Erin D,Erin,KF,DK,10-Oct-17,21-Dec-17,15-Jan-18,15-Jan-18,26-Jan-18,30-Jan-18,5-Feb-18,12-Feb-18,TRUE,TRUE,"TB, immigrants, BC, infectious disease, screening, epidemiology","538, 154, 170, 511, 163"
161288,Research,Sadarangani,Persistence of immunity after vaccination with a capsular group B meningococcal vaccine in three different toddler schedules,12-Jun-17,12-Jun-17,16-Oct-17,May 2018,Sent to DK for SE2 Aug. 4. Oct. 3: to Prod. For PR changes. Apr. 5: synopsis to SE1; back Apr. 13; synopsis to SE2 Apr. 13; back Apr. 16. To PR Apr. 16; F'd Apr. 16,10,Lea,Erin D,Erin D,KP,DK,1-Mar-17,14-Jul-17,31-Jul-17,31-Jul-17,25-Sep-17,26-Sep-17,29-Sep-17,3-Oct-17,TRUE,TRUE,"immunology, vaccination, infectious diseases, pediatrics, public health","197, 154, 72, 170, 383"
171154,Research,Dobrow,Consolidated principles for screening based on a systematic review and consensus process,11-Jan-18,12-Jan-18,9-Apr-18,,flagged for commentary,6,Kate,Olivier,Erin,KF,DK,15-Jan-18,6-Mar-18,14-Mar-18,14-Mar-18,19-Mar-18,19-Mar-18,21-Mar-18,23-Mar-18,TRUE,TRUE,screening & diagnostic tests,"105, 10"
161241,Research,Boggild,"Zika Virus in Canadian Travellers Returning from the Americas: CanTravNet Surveillance Report, October 2015 — September 2016",29-Dec-16,12-Jan-17,6-Mar-17,April 2017,,7,Kate S,Olivier,Erin,MBS,KP,12-Jan-17,2-Feb-17,9-Feb-17,10-Feb-17,13-Feb-17,13-Feb-17,13-Feb-17,16-Feb-17,TRUE,TRUE,"travel, pregnancy, insect repellent, fever, pain, acetaminophen","154, 213"
170292,Research,Dummer,The Canadian Partnership for Tomorrow Project: a Pan-Canadian platform for chronic disease prevention research,03-Apr-18,12-Apr-18,11-Jun-18,,,6,Kate,Olivier,,KF,,10-Apr-18,11-May-18,17-May-18,17-May-18,,,,,TRUE,TRUE,,
170676,Research,Nakhla,Risk of ketoacidosis in children at the time of diabetes mellitus diagnosis by primary care status: a population-based retrospective cohort study,11-Nov-17,11-Nov-17,9-Apr-18,,email meranda.nakhla@mcgill.ca with pub date once decided -- Peggy advised au of tentative date (23 Apr),6,Peggy,Erin D,Erin D,KF,DK,15-Nov-17,30-Jan-18,7-Feb-18,7-Feb-18,14-Feb-18,20-Feb-18,1-Mar-18,9-Mar-18,TRUE,TRUE,"diabetes, diabetic ketoacidosis, primary care","10, 24, 72, 225, 105, 383 "
170901,Research,Tamblyn,Assessment of potential bias in research grant peer review in Canada,23-Nov-17,11-Jan-18,23-Apr-18,,29 Mar: re-sent to MBS. 19 Mar: VB sent to DK/KP for SE1 because MBS away until 26 Mar linked commentary,11,Vicky,Olivier,Erin,DK,KP,28-Nov-17,15-Mar-18,19-Mar-18,19-Mar-18,3-Apr-18,3-Apr-18,5-Apr-18,9-Apr-18,TRUE,TRUE,"Gender, universities, peer review, grants, equality","171, 321, 134, 165, 456"
171333,Research,Enke,Anticonvulsants in the treatment of low back pain and lumbar radicular pain: A systematic review and meta-analysis,11-Apr-18,11-Apr-18,3-Jul-18,,,5,,Olivier,,,,13-Apr-18,,,,,,,,TRUE,TRUE,,
161034,Research,Theou,Association between sedentary time and mortality across levels of frailty,30-Jan-17,11-Apr-17,21-Aug-17,April 2018,161034-syn: 20 Mar: F,9,Peggy,Olivier,Erin D,KF,KP,,4-May-17,9-May-17,9-May-17,15-May-17,17-May-17,23-May-17,26-May-17,TRUE,TRUE,"frailty, accelerometer, physical activity, exercise, ","402,388, 271"
161390,Research,Azad,Nonnutritive sweeteners and cardiometabolic health: a systematic review and meta-analysis of randomized controlled trials and prospective cohort studies,09-Mar-17,10-Mar-17,17-Jul-17,December 2017,"For print: publish with 160706, 161152 and KP's editorial? 161390-syn to SE1 Nov. 6; to SE2 Nov. 13; to PR Nov. 13",11,Lea,Erin D,Olivier,DK,KP,21-Mar-17,1-Jun-17,14-Jun-17,14-Jun-17,23-Jun-17,27-Jun-17,29-Jun-17,4-Jul-17,TRUE,TRUE,"obesity, nonnutritive sweeteners, diabetes, cardiovascular disease, nutrition","334, 33, 24, 151, 383"
170830,Research,Pincus,Reporting and evaluating wait times for urgent and emergent surgery in Canada: a case study of hip fracture care,05-Apr-18,10-Apr-18,11-Jun-18,,,8,Lea,Erin D,,KF,,10-Apr-18,1-May-18,14-May-18,14-May-18,,,,,TRUE,TRUE,"Health services, surgery, hip fracture, orthopedic surgery, health policy, emergency medicine, research methods and statistics","10, 2, 165, 96, 171"
170666,Research,Schaffer,Person-level changes in oxycodone use after the introduction of a tamper-resistant formulation in Australia,21-Dec-17,09-Jan-18,26-Mar-18,,,8,Lea,Erin D,,MBS,KP,8-Jan-18,12-Feb-18,14-Feb-18,14-Feb-18,2-Mar-18,5-Mar-18,8-Mar-18,9-Mar-18,TRUE,TRUE,"oxycodone CR, opioids, addition medicine, public health, pain, suicide","4, 7, 186, 163, 170, 492, 530, 539"
161020,Research,Berard,Use of antibiotics during pregnancy and the risk of spontaneous abortion,01-Jan-17,09-Jan-17,1-May-17,September 2017,,9,Kate S,Olivier,Olivier,KF,KP,10-Jan-17,25-Jan-17,14-Feb-17,14-Feb-17,17-Feb-17,21-Feb-17,23-Feb-17,7-Mar-17,TRUE,TRUE,"Pregnancy, antibiotics","199, 202"
171076,Research,Muraca,Associations between rates of operative vaginal delivery and frequency of obstetric and birth trauma,07-May-18,08-May-18,9-Jul-18,,,5,,Olivier,,,,7-May-18,,,,,,,,TRUE,TRUE,,
170219,Research,Geoffroy,Childhood trajectories of peer victimization and prediction of mental health outcomes in midadolescence: a longitudinal population-based study,10-Jul-17,08-Aug-17,15-Jan-18,February 2018,170219-syn: 22 Jan - F. Stay here (Jan 15) for launch of mental health AOF.   No linked commentary (suggest you put the Opoid strategy commentary by Tyndall in this issue: KP)170219-syn: 22 Jan - F. Stay here (Jan 15) for launch of mental health AOF.   No linked commentary (suggest you put the Opoid strategy commentary by Tyndall in this issue: KP),7,Peggy,Erin D,Erin D,DK,KP,2-Aug-17,2-Oct-17,5-Oct-17,5-Oct-17,20-Oct-17,24-Oct-17,30-Oct-17,27-Nov-17,TRUE,TRUE,"adolescence, depression, anxiety, mental health, bullying, suicidality, eating problems, conduct disorder","225, 72, 538, 539, 86, 492 "
170371,Research,Joseph,"Mode of delivery after a previous cesarean, and associated maternal and neonatal morbidity",05-Feb-18,07-Feb-18,7-May-18,,flagged form commentary on decline in obstet skills; y; KP: to be published with another article on obstetrics and commentary to be about both; Apr. 9 to DK about appendix 2; Apr. 13 to DK with queries about AU changes ,9,Lea,Erin D,Erin,DK,KP,9-Feb-18,12-Mar-18,26-Mar-18,26-Mar-18,6-Apr-18,10-Apr-18,13-Apr-18,20-Apr-18,TRUE,TRUE,"obstetrics, gynecology, births, cesarean section, morbidity, mortality, neonates, babies","10, 415, 202, 159, 540, 72"
160839,Research,Booth,Influence of environmental temperature on risk of gestational diabetes,28-Dec-16,06-Mar-17,15-May-17,June 2017,,8,Lea,Olivier,Olivier,MBS,KP,6-Mar-17,3-Apr-17,18-Apr-17,18-Apr-17,20-Apr-17,20-Apr-17,27-Apr-17,2-May-17,TRUE,TRUE,"gestational diabetes, pregnancy, women's health, environmental issues","24, 152, 202, 159, 142"
161142,Research,Swartz,Long-term morbidity and mortality in patients without early complications after stroke or transient ischemic attack,27-Feb-17,06-Mar-17,24-Jul-17,August 2017,,8,Peggy,Olivier,Olivier,KP,DK,22-Mar-17,12-Apr-17,18-Apr-17,18-Apr-17,28-Apr-17,28-Apr-17,8-May-17,18-May-17,TRUE,TRUE,"stroke, transient ischemic attack, myocardial infarction, hypertension, diabetes mellitus, hyperlipidemia, tPA, tissue plasminogen activator, antiplatelet agents, warfarin, anticoagulants, antithrombotics, cardiac stenting, endarterectomy, long-term care",38151
170432,Research,Di Santo,Photoplethysmography using a smartphone application for assessment of ulnar artery patency: a randomized clinical trial,30-Nov-17,06-Dec-17,3-Apr-18,,180269-com; query to AU about Tables 2 and 3 on Mar. 16; all other proofreading changes added. Email from AU Mar. 16,9,Lea,Olivier,Olivier,MBS,,7-Dec-17,5-Mar-18,9-Mar-18,9-Mar-18,14-Mar-18,14-Mar-18,15-Mar-18,16-Mar-18,TRUE,TRUE,"Cardiology, ischemic heart disease, vascular surgery, eHealth, cardiovascular medicine, smartphones, medical devices, screening and diagnostic tests","15, 151,167, 194, 533, 105, 101"
180013,Research,Katz,Evolving Epidemiology of C. difficile Infection in Canadian Hospitals during a Post-Epidemic period (2009-2015),20-Mar-18,06-Apr-18,25-Jun-18,,,8,Kate,Erin D,,KF,,29-Mar-18,2-May-18,11-May-18,11-May-18,,,,,TRUE,TRUE,infectious diseases,
170604,Research,Murray,"Outcomes, experiences and palliative care in major stroke: a multicentre, mixed-method, longitudinal study",09-Aug-17,05-Sep-17,5-Mar-18,, Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956) Linked commentary accepted (170956),9,Vicky,Olivier,Erin,KF,DK,6-Sep-17,5-Jan-18,11-Jan-18,11-Jan-18,26-Jan-18,29-Jan-18,7-Feb-18,9-Feb-18,TRUE,TRUE,"Stroke, care homes, caregivers, palliative care","109, 55, 42"
170125,Research,Gilman,Depression and mortality in a longitudinal study: 1952-2011,20-Jun-17,05-Jul-17,23-Oct-17,February 2018,170125-syn: 18 Jan: F.,7,Vicky,Erin D,Olivier,,,22-Jun-17,1-Aug-17,15-Aug-17,15-Aug-17,18-Sep-17,22-Sep-17,28-Sep-17,6-Oct-17,TRUE,TRUE,"Depression, antidepressants","163, 161"
160850,Research,Saunders,Firearm injuries among children and youth from immigrant families in Ontario: a population-based cohort study,02-Dec-16,05-Dec-16,27-Mar-17,May 2017,,7,Kate S,Olivier,Olivier,KF,KP,8-Dec-16,21-Dec-16,6-Jan-17,6-Jan-17,9-Jan-17,10-Jan-17,16-Jan-17,24-Jan-17,TRUE,TRUE,"pediatrics, trauma, guns, immigrant health","323, 511, 72"
161064,Research,Auger,Countdown to Winter: Association of Myocardial Infarction with Snowfall,28-Dec-16,04-Jan-17,13-Feb-17,March 2017,,8,Kate S,Erin D,Olivier,MBS,KP,10-Jan-17,10-Jan-17,12-Jan-17,12-Jan-17,16-Jan-17,16-Jan-17,18-Jan-17,26-Jan-17,TRUE,TRUE,"heart disease, snow, exercise/physical activity","15, 151, 142, 402"
161002,Research,Reid,Electronic cigarette use and smoking initiation among youth: a longitudinal cohort study,15-Jun-17,04-Aug-17,30-Oct-17,June 2018,16 May: 161002-syn F 15 May: to FT. 14 May: from SE1. 4 May: 161002-syn to SE116 May: 161002-syn F 15 May: to FT. 14 May: from SE1. 4 May: 161002-syn to SE116 May: 161002-syn F 15 May: to FT. 14 May: from SE1. 4 May: 161002-syn to SE1,9,Peggy,Olivier,Erin,MBS,KP,21-Jun-17,21-Sep-17,27-Sep-17,27-Sep-17,4-Oct-17,5-Oct-17,10-Oct-17,15-Oct-17,TRUE,TRUE,"e-cigarettes, smoking, cigarettes, youth, ","225, 144"
160515,Research,Heyland,Validation of quality indicators for end-of-life communication: results of a multicentre survey,18-Jan-17,03-Mar-17,31-Jul-17,January 2018,15 Dec: synopsis F,12,Vicky,Erin D,Olivier,MBS,KP,26-Jan-17,15-Jun-17,29-Jun-17,29-Jun-17,10-Jul-17,10-Jul-17,11-Jul-17,14-Jul-17,TRUE,TRUE,"pallative care, internal medicine, patient safety, end of life","109, 398, 42, 346, 355"
160427,Research,Riverin,Team-based versus traditional primary care models and short-term outcomes after hospital discharge: a population-based cohort study,29-Dec-16,03-Jan-17,24-Apr-17,August 2017,160427-syn to SE July 10; to FT July 17; PR July 17,9,Kate S,Erin D,Olivier,MBS,KP,12-Jan-17,19-Jan-17,24-Jan-17,24-Jan-17,27-Jan-17,27-Jan-17,30-Jan-17,3-Feb-17,TRUE,TRUE,"primary care, elderly patients","383, 535, 271, 10"
171390,Research,Hadjipavlou,“All my relations”: experiences and perceptions of Indigenous patients connecting with Indigenous Elders in an inner city primary care partnership for mental health and well-being,02-Mar-18,02-Mar-18,22-May-18,,flagged for a commetnary. Sent to MBS for review and confirmation of version Apr. 27,8,Lea,Erin D,Olivier,MBS,DK,19-Mar-18,19-Apr-18,27-Apr-18,27-Apr-18,3-May-18,3-May-18,7-May-18,,TRUE,TRUE,"Health care for Indigenous peoples, Elders, mental health, addiction medicine, religion and spirituality ","370, 7, 532, 357, 161, 354"
