docDOI,docSection,docDepartment,docAuthor,docTitle,docFocusArea,docAcceptDate,docPaymentDate,docInvoiceNum,docOnlineIssue,docPrintIssue,docNotes,docMultiMedia1,docRelatedMaterial,docNumPages,docEditor,docCoordinator,docProofReader,docSE1,docSE2,docOutstandingMaterial,docEnteredDate,docCopyEditBeginDate,docCopyeditCompleteDate,docSendSEDate,docReturnSEDate,docSendAuthorDate,docReturnAuthorDate,docSendFineTune,docReturnFineTune,docSendProofRead,docReturnProofRead,docFinalizeDate,docNumAppendices,docOpenAccess,docShortTitle,docWebBlurb,docTranslation,docAddConflicts,docCollectionCode1,docProfessionalDev,docPodcastEmbargoLink,docPodcastPermLink,docPodcastEmbedCode,docVideoEmbedCode,docVideoLink,docURL,docHashTags,docSocialSummary,"Accept to payment, d2","Payment to rough layout, d","Payment to copyedit, d","Payment to publication, d","Accept to rough layout, d","Rough layout to copyedit, d","Copyedit, d",SE12,"Proof with author, d","Author alterations, d","Fine-tune, d","Proofreading, d","Accept to publication, d","Accept to print, d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170379,Analysis,Analysis,Riediger,Sugar-sweetened beverages as the new tobacco: examining a proposed tax policy through a Canadian social justice lens,Vulnerable populations,29-Sep-17,,,19-Mar-18,April 2018,For vulnerable pop launch. Should go in print if possible.,Podcast,,4,Vicky,Olivier,Olivier,KP,,none,4-Oct-17,1-Dec-17,6-Dec-17,6-Dec-17,10-Dec-17,15-Dec-17,22-Dec-18,3-Jan-18,4-Jan-18,5-Jan-18,8-Jan-18,9-Jan-18,0,No,Is a soda tax right for Canada?,A tax on sugar sweetened beverages may not be quite the magic policy pill it’s marketed to be,No,"Sweetened beverages, obesity, tax, Canadian government, Indigenous people, First Nations, vulnerable populations","370, 456, 170, 334, 33, 10,  538",,https://soundcloud.com/cmajpodcasts/170379-ana/s-QWDQe,https://soundcloud.com/cmajpodcasts/170379-ana,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/410512065%3Fsecret_token%3Ds-QWDQe&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe>",,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170379,"#CMUCHP
#Ongomiizwin
@UM_RadyFHS
@umanitoba
Natalie Riediger (facebook)
","The World Health Organization has recommended a sugar-sweetened beverage tax to address obesity. However, lessons learned from tobacco taxes indicate that taxes may widen health inequalities, contribute to stigma, and may not be acceptable to First Nations communities.   ",,,,,5,58,5,4,372,#NUM!,1,3,171,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170674,Analysis,Analysis,Stevens,"Kidney age, not kidney disease",,27-Nov-17,,,3-Apr-18,June 2018,Should go in print if possible.,,,5,Vicky,Olivier,Olivier,KP,DK,None,27-Nov-17,12-Jan-18,18-Jan-18,18-Jan-18,25-Jan-18,26-Jan-18,1-Feb-18,2-Feb-18,2-Feb-18,2-Feb-18,2-Feb-18,5-Feb-18,0,No,"Kidney age, not kidney disease",Reframing the stages of CKD in terms of “kidney age” could improve patient-practitioner communication,No,"Geriatric medicine, kidney disease, doctor-patient relationships, aging, seniors","44, 271",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170674,"Twitter: 
@ebhcmedstats 
@OxPrimaryCare 
@JPHorwood
@CLAHRC_West  
@capcbristol
@healthtalkorg
","The term “chronic kidney disease” is often applied to people who are in fact experiencing a natural age-related decline in their kidneys.  We argue that unless an actual disease of the kidneys is present, then the term “kidney age” is more appropriate.",,,,,0,46,6,7,6,1,0,0,127,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170784,Analysis,Analysis,van Weel,Why strengthening primary health care is essential to achieving universal health coverage,Health Services,07-Dec-17,,,16-Apr-18,,Please could we publish this by the end of April 2018?; linked commentary accepted (Dugani)  12/03/2018,,180186-com,4,Sarah,Olivier,ED,KP,,None,8-Dec-17,21-Jan-18,21-Jan-18,21-Jan-18,22-Jan-18,27-Jan-18,31-Jan-18,4-Feb-18,5-Feb-18,5-Feb-18,6-Feb-18,11-Feb-18,0,No,PHC is essential to achieving UHC,Indicators will show that primary care supports the achievement of universal health coverage,No,"Primary health care, universal health coverage","10, 383, 165, 170",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.170784,,"Population health requires access to health care for all – universal health coverage – but has financial implications. Primary health care improves population health and reduces health costs. This makes it a key to universal health coverage, and asks for monitoring of its functioning in health systems.   ",,,,,1,44,0,1,4,4,1,1,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141124,Analysis,Analysis,Tupper,Psychedelic medicine: a re-emerging therapeutic paradigm,,04-Aug-15,,,,October 2015,,,tripping-dyck for print,6,Sarah,Erin D,Kelly,KP,,None,,,,,,,,,,,,,0,y,,,No,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150657,Analysis,Analysis,Spithoff,Cannabis legalization: adhering to public health best practice,,25-Aug-15,,,,November 2015,,Podcast,,6,Kate S,Erin D,,KP,JF,None,,,,2-Sep-15,10-Sep-15,3-Sep-15,8-Sep-15,8-Sep-15,9-Sep-15,,,10-Sep-15,1,,,,No,,,,,,,,,,,,,,,,,,,8,5,0,1,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151130,Analysis,Analysis,Downie,Medical certificates of death: first principles and established practice provide answers to new questions,,19-Nov-15,,,,January 2016,needs to be final by Dec 3 if at all possible,Podcast,,4,Peggy,Erin D,Kate S,KP,DK,None,19-Nov-15,20-Nov-15,24-Nov-15,24-Nov-15,3-Dec-15,26-Nov-15,29-Nov-15,30-Nov-15,30-Nov-15,,,4-Dec-15,2,No,PAD: completing the death certificate,Why and how to record physician-assisted death on medical certificates of death once it is legal,No,"end-of-life care, palliative sedation, physician-assisted death, life insurance, privacy of information, diabetes, fracture, sexually transmitted disease, pneumonia, pancreatic cancer","109, 25",,https://soundcloud.com/cmajpodcasts/151130-ana/s-wyUIS,https://soundcloud.com/cmajpodcasts/151130-ana,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/236483668%3Fsecret_token%3Ds-wyUIS&amp;color=ff5500&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false""></iframe>",,,www.cmaj.ca/lookup/doi/10.1503/cmaj.151130,#pad #eol @kacieoliver @jgdownie  @SchulichLaw,"Analysis ? With physician-assisted death legal in Canada in 2016, physicians will need to know whether and, if so, how to record it on medical certificates of death. Downie and Oliver discuss the best approach by examining current practice and principles. (sub reqd) [KEY POINTS] Wed 12pm",,,,,0,1,4,9,3,1,0,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150605,Analysis,Analysis,O'Byrne,HIV treatment as prevention in men who have sex with men: examining the evidence,,17-Sep-15,,,,February 2016,,Podcast,,6,Peggy,Erin D,Lea,KP,DK,,,2-Dec-15,9-Dec-15,9-Dec-15,15-Dec-15,9-Dec-15,10-Dec-15,10-Dec-15,10-Dec-15,,,16-Dec-15,0,No,HIV treatment as prevention in MSM,"Though TasP is shown to reduce onward HIV transmission, there are some caveats to its use in MSM",No,"HIV infection, sexually transmitted infections, antiretroviral therapy, condoms","60, 199, 170, 321",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.150605, @OttawaHospital @uOttawa,"Though treatment as prevention is shown to reduce onward HIV transmission, there are some caveats among men who have sex with men, say O'Byrne and MacPherson. (subscription required) [KEYPOINTS] Sat 12pm",,,,,,,7,6,1,0,0,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150683,Analysis,Analysis,Kuzik,Maybe there is no such thing as bronchiolitis,,05-Oct-15,,,,March 2016,,,,4,Kate B,Erin D,Kate S,KP,DK, Fig to be retraced. Permission on file.,,11-Jan-16,13-Jan-16,14-Jan-16,25-Jan-16,20-Jan-16,20-Jan-16,21-Jan-16,22-Jan-16,,,26-Jan-16,0,No,Does bronchiolitis really exist?,Perhaps it is time for a fundamental change in our approach to infants with viral wheeze.,No,"Asthma, bronchiolitis, bronchodilators, steroids, hypertonic saline","339, 340, 46, 48, 436",Yes,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.150683,,"Guidelines on viral bronchiolitis in infants agree that it is a very common illness with no treatment options other than supportive care and, perhaps, inhaled hypertonic saline for inpatients only. Have we understood its pathologic mechanisms wrong? Perhaps bronchiolitis is part of the spectrum of early-onset asthma, ventures Kuzik. (subscription required) [WEB IMAGE]",,,,,,,2,11,0,1,1,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150653,Analysis,Analysis,Iaonnidis,Routinely collected data and comparative effectiveness evidence: promises and limitations,,18-Nov-15,,,,May 2016,epaginated,, 151470-com 160410-edit & Open 2015-0036 for print,7,Lea,Erin D,Kate B,DK,JF,,23-Nov-15,,28-Jan-16,28-Jan-16,9-Feb-16,3-Feb-16,8-Feb-16,8-Feb-16,9-Feb-16,,,10-Feb-16,0,No,Routinely collected data studies,Utility of studies using routinely collected data for understanding treatment effects is overestimated,No,none,"9, 10, 123, 167, 190, 365 ",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.150653,#SPRC ,"Routinely collected data (RCD) are increasingly used for biomedical research; however, their utility for understanding treatment effects is probably overestimated, say Hemkens and colleagues. They tell us why and suggest ways to improve the research agendas of RCTs and those that use RCD. (subscription required) [KEY POINTS] Thurs 12pm",,,,,5,,,12,5,0,1,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151102,Analysis,Analysis,Gupta,Optimizing the language and format of guidelines to improve guideline uptake,,21-Jan-16,,,,October 2016,epaginated,,,7,Kate S,Olivier,,DK,KP,,18-Feb-16,4-Mar-16,15-Mar-16,15-Mar-16,12-Apr-16,7-Apr-16,11-Apr-16,11-Apr-16,12-Apr-16,,,13-Apr-16,5,No,How guidelines can be improved,The language and format used in a guideline may affect how likely it is to be followed in real-world practice. This article offers practical tips to optimize these features in an effort to increase a guideline’s uptake.,No,"guidelines, diabetes, heart disease, asthma","189, 368, 509",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.151102,,Analysis | The language and format used in a guideline may affect how likely it is to be followed in real-world practice. This article offers practical tips to optimize these features in an effort to increase a guideline’s uptake. (subscription required) [FIG 1] Wed 9am,,,,,28,15,11,28,4,0,1,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150451,Analysis,Analysis,Shapiro,Including males in Canadian human papillomavirus vaccination programs: a policy analysis,,17-Feb-16,,,,September 2016,,,151345-com   151528-res (EOR 27 Jun); bring together for  print,6,Kate B,Olivier,,KP,—,,25-Feb-16,7-Apr-16,11-Apr-16,11-Apr-16,11-Apr-16,12-Apr-16,15-Apr-16,18-Apr-16,18-Apr-16,,,19-Apr-16,0,No,HPV vaccination for males in Canada,HPV-related disease is common in men as well as women; there are many reasons to vaccinate boys too,No,HPV vaccination,"433, 456, 207, 32",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.150451,tags:  @gkshapiro @McGillPsych ; #QEScholar #HPV #Healthequity ,"Analysis | HPV-related disease is common in men as well as women. There are many reasons to vaccinate boys too, argue Shapiro and colleagues. (subscription required) Wed 12pm",,,,,8,42,4,0,3,3,0,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160134,Analysis,Analysis,Duffin,The case for an essential medicines list for Canada,,22-Apr-16,,,,November 2016,,,,5,Kate B,Olivier,,KP,—,,28-Apr-16,10-May-16,18-May-16,18-May-16,24-May-16,24-May-16,25-May-16,26-May-16,26-May-16,,,27-May-16,0,No,An essential medicines list for Canada,117 countries have essential medicines lists but not Canada. Could we benefit from having one?,No,None,"113, 456, 186 ",,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.160134,,"117 countries have essential medicines lists but not Canada. Could there be benefits to our drafting one? In their Analysis, Duffin and colleagues argue that an EML could support national pharmacare and may help with managing drug shortages (sub req) www.cmaj.ca/lookup/doi/10.1503/cmaj.160134 ",,,,,6,12,8,6,1,1,0,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151454,Analysis,Analysis,Rocker,Palliative care for chronic illness: driving change,,25-Jul-16,,,,December 2016,epaginated,,,6,Kate S,Olivier,,KP,—,,29-Jul-16,29-Jul-16,3-Aug-16,3-Aug-16,4-Aug-16,4-Aug-16,5-Aug-16,5-Aug-16,8-Aug-16,,,9-Aug-16,2,,Better palliative care in Canada,What can be done to fulfill palliative care needs for those with advanced chronic illness in Canada?,No,"end-of-life care, palliative care, geriatrics, COPD, dialysis","109, 42, 271, 388, 47, 16, 313, 390, 383",Yes,,,,,,www.cmaj.ca/lookup/doi/10.1503/cmaj.151454,@jamesdownar @CFHI_FCASS,,,,,,4,0,5,1,1,0,3,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
